text,category
"Experienced Python developer with Django and Flask. Built REST APIs using FastAPI. Strong knowledge of PostgreSQL and Redis. Docker containerization experience. Git version control. AWS deployment.",Backend Developer
"Senior backend engineer specializing in Java Spring Boot microservices. SQL database design. Kubernetes orchestration. Jenkins CI/CD pipelines. Linux server administration.",Backend Developer
"Python backend developer with 3 years experience. FastAPI and SQLAlchemy. MongoDB and PostgreSQL. REST API design. Agile Scrum methodology.",Backend Developer
"JavaScript developer with React and Vue.js. HTML5 CSS3 responsive design. TypeScript experience. Node.js Express backend. Git GitHub workflow.",Frontend Developer
"Frontend engineer building SPAs with React and Next.js. Tailwind CSS styling. Figma design collaboration. Angular experience. Agile team player.",Frontend Developer
"UI developer with strong HTML CSS JavaScript skills. React component library development. Redux state management. Webpack build tools.",Frontend Developer
"Data scientist with Python pandas numpy scikit-learn. Machine learning model development. Jupyter notebooks. SQL data analysis. Matplotlib visualization.",Data Scientist
"ML engineer using TensorFlow and PyTorch. Deep learning neural networks. Pandas data preprocessing. Spark big data processing. Statistical analysis.",Data Scientist
"Data analyst with Python R programming. Scikit-learn classification models. Seaborn data visualization. SQL queries. Tableau dashboards.",Data Scientist
"DevOps engineer with Docker Kubernetes AWS. Terraform infrastructure as code. Jenkins CI/CD. Linux bash scripting. Ansible automation.",DevOps Engineer
"Cloud engineer managing AWS Azure infrastructure. Kubernetes cluster administration. GitLab CI pipelines. Monitoring and logging. Terraform modules.",DevOps Engineer
"SRE with Docker containerization. Kubernetes helm charts. GCP cloud services. Jenkins automation. Linux system administration.",DevOps Engineer
"Full stack developer with Python Django and React. JavaScript TypeScript frontend. PostgreSQL database. Git Docker deployment. REST API development.",Full Stack Developer
"Full stack engineer using Node.js and React. MongoDB and SQL databases. AWS cloud hosting. Agile Scrum. HTML CSS JavaScript.",Full Stack Developer
"Python Flask backend with React frontend. SQL database management. Git version control. Docker containers. Team leadership skills.",Full Stack Developer
